customer,nrg_prc,product,unit,geo\time	2018 	2017 
HH,NETC_TRANS,6000,PC,EL	20.0000 	19.9300 
HH,NETC_TRANS,6000,PC,FI	10.0000 	15.0000 
HH,NETC_TRANS,6000,PC,FR	21.2762 	21.1742 
HH,NETC_TRANS,6000,PC,GE	22.7000 	: 
HH,NETC_TRANS,6000,PC,HR	26.6300 	26.6700 
HH,NETC_TRANS,6000,PC,HU	18.1188 	20.3825 e
HH,NETC_TRANS,6000,PC,IE	20.3500 	17.1116 
HH,NETC_TRANS,6000,PC,LT	27.9155 	27.4359 
HH,NETC_TRANS,6000,PC,LU	0.0000 	0.0000 
HH,NETC_TRANS,6000,PC,LV	22.1000 	22.6600 
HH,NETC_TRANS,6000,PC,ME	17.1000 	17.0300 
HH,NETC_TRANS,6000,PC,MK	21.7770 	21.3103 
HH,NETC_TRANS,6000,PC,NL	18.0000 e	18.0000 e
HH,NETC_TRANS,6000,PC,NO	22.3063 	19.2000 
HH,NETC_TRANS,6000,PC,PL	28.2252 	30.8089 
HH,NETC_TRANS,6000,PC,PT	14.5810 	14.0000 
HH,NETC_TRANS,6000,PC,RO	14.9871 e	14.8208 e
HH,NETC_TRANS,6000,PC,RS	19.4386 	19.2767 
HH,NETC_TRANS,6000,PC,SE	12.2100 	12.2100 
HH,NETC_TRANS,6000,PC,SI	23.9000 	24.4000 
HH,NETC_TRANS,6000,PC,SK	9.8400 	10.3800 e
HH,NETC_TRANS,6000,PC,TR	16.1130 e	16.9800 
HH,NETC_TRANS,6000,PC,UK	30.0000 	30.0000 
HH,NETC_TRANS,6000,PC,XK	11.4333 	15.3940 
NHH,NETC_DIST,4100,PC,AT	80.0000 e	81.0000 e
NHH,NETC_DIST,4100,PC,BA	34.0000 	34.0000 
NHH,NETC_DIST,4100,PC,BE	69.6787 	68.0639 e
NHH,NETC_DIST,4100,PC,BG	55.2700 	55.2400 
NHH,NETC_DIST,4100,PC,CZ	94.4191 	92.2335 
NHH,NETC_DIST,4100,PC,DK	87.0000 	89.0000 
NHH,NETC_DIST,4100,PC,EE	: u	64.0000 e
NHH,NETC_DIST,4100,PC,EL	48.5200 	: c
NHH,NETC_DIST,4100,PC,FI	8.5000 e	8.5000 e
NHH,NETC_DIST,4100,PC,FR	58.4832 	62.8571 
NHH,NETC_DIST,4100,PC,GE	82.0000 	: 
NHH,NETC_DIST,4100,PC,HR	64.3600 	63.4200 
NHH,NETC_DIST,4100,PC,HU	56.9023 e	56.9000 e
NHH,NETC_DIST,4100,PC,IE	57.8889 	55.0443 
NHH,NETC_DIST,4100,PC,LT	73.9600 	67.3303 
NHH,NETC_DIST,4100,PC,LU	62.8300 	77.0400 
NHH,NETC_DIST,4100,PC,LV	68.3400 	70.6700 
NHH,NETC_DIST,4100,PC,MD	97.3003 	96.9000 
NHH,NETC_DIST,4100,PC,MK	47.4230 	8.0955 
NHH,NETC_DIST,4100,PC,NL	82.0000 e	82.0000 e
NHH,NETC_DIST,4100,PC,PL	62.2971 	: u
NHH,NETC_DIST,4100,PC,PT	84.8060 	93.0000 
NHH,NETC_DIST,4100,PC,RO	69.7979 e	67.3285 e
NHH,NETC_DIST,4100,PC,RS	30.1786 	27.0200 
NHH,NETC_DIST,4100,PC,SE	66.9800 	66.9800 
NHH,NETC_DIST,4100,PC,SI	71.0000 	71.0000 
NHH,NETC_DIST,4100,PC,SK	74.7000 	78.5300 
NHH,NETC_DIST,4100,PC,TR	55.0000 e	58.0000 e
NHH,NETC_DIST,4100,PC,UK	93.0000 	92.9000 
NHH,NETC_DIST,6000,PC,AT	79.0000 e	82.0000 e
NHH,NETC_DIST,6000,PC,BA	70.3200 	68.4900 
NHH,NETC_DIST,6000,PC,BE	43.4426 	43.3122 e
NHH,NETC_DIST,6000,PC,BG	66.3000 	67.4000 
NHH,NETC_DIST,6000,PC,CY	60.9534 	: 
NHH,NETC_DIST,6000,PC,CZ	: c	: c
NHH,NETC_DIST,6000,PC,DK	57.0000 	58.0000 
NHH,NETC_DIST,6000,PC,EE	63.0000 e	63.0000 e
NHH,NETC_DIST,6000,PC,EL	57.2500 	69.2600 
NHH,NETC_DIST,6000,PC,FI	80.0000 	75.0000 
NHH,NETC_DIST,6000,PC,FR	61.3662 	62.7639 
NHH,NETC_DIST,6000,PC,GE	37.5000 	: 
NHH,NETC_DIST,6000,PC,HR	69.5000 	69.6900 
NHH,NETC_DIST,6000,PC,HU	81.8812 	79.6175 e
NHH,NETC_DIST,6000,PC,IE	65.2935 	69.8541 
NHH,NETC_DIST,6000,PC,IS	60.0000 e	: 
NHH,NETC_DIST,6000,PC,LT	56.4225 	58.7090 
NHH,NETC_DIST,6000,PC,LU	89.1200 	91.8800 
NHH,NETC_DIST,6000,PC,LV	69.3800 	68.2770 
NHH,NETC_DIST,6000,PC,MD	100.0000 	100.0000 
NHH,NETC_DIST,6000,PC,ME	82.8700 	: 
NHH,NETC_DIST,6000,PC,MK	83.8390 	84.7471 
NHH,NETC_DIST,6000,PC,NL	82.0000 e	82.0000 e
NHH,NETC_DIST,6000,PC,NO	59.2923 	66.6000 
NHH,NETC_DIST,6000,PC,PL	71.7748 	69.1911 
NHH,NETC_DIST,6000,PC,PT	73.0000 	76.0000 
NHH,NETC_DIST,6000,PC,RO	69.1293 e	83.2659 e
NHH,NETC_DIST,6000,PC,RS	90.8738 	91.9025 
NHH,NETC_DIST,6000,PC,SE	87.7900 	87.7900 
NHH,NETC_DIST,6000,PC,SI	75.6000 	75.4000 
NHH,NETC_DIST,6000,PC,SK	80.3900 	80.3600 e
NHH,NETC_DIST,6000,PC,TR	83.8870 e	83.0200 
NHH,NETC_DIST,6000,PC,UK	70.0000 	69.7509 
NHH,NETC_DIST,6000,PC,XK	76.0433 	69.0771 
NHH,NETC_TRANS,4100,PC,AT	20.0000 e	19.0000 e
NHH,NETC_TRANS,4100,PC,BA	66.0000 	66.0000 
NHH,NETC_TRANS,4100,PC,BE	30.3213 	31.9361 e
