product,consom,unit,tax,currency,geo\time	2019S1 	2018S2 	2018S1 	2017S2 	2017S1 	2016S2 	2016S1 	2015S2 	2015S1 	2014S2 	2014S1 	2013S2 	2013S1 	2012S2 	2012S1 	2011S2 	2011S1 	2010S2 	2010S1 	2009S2 	2009S1 	2008S2 	2008S1 	2007S2 	2007S1 
4100,4141901,GJ_GCV,I_TAX,EUR,AT	26.7767 	28.8867 	27.1400 	30.1151 	23.2400 	23.2400 	23.7200 	23.9200 	24.4200 	24.6400 	25.0500 	25.1000 	25.4900 	25.5300 	25.5200 	24.2900 	23.1300 	20.4500 	20.9900 	21.0500 	21.8200 	20.9000 	20.2600 	20.9300 	: 
4100,4141901,GJ_GCV,I_TAX,EUR,BA	9.3109 	9.0493 	9.0462 	9.0790 	8.5335 	9.3311 	10.8598 	14.2650 	14.2650 	14.2347 	14.2347 	14.2347 	15.4082 	15.4082 	15.4082 	14.8980 	12.5510 	: 	: 	: 	: 	: 	: 	: 	: 
4100,4141901,GJ_GCV,I_TAX,EUR,BE	21.5996 	25.0309 	21.1042 	22.0986 	20.2584 	21.9000 	20.8700 	25.2100 	22.0500 	25.8000 	23.9600 	24.8600 	25.6600 	28.5600 	26.0000 	26.7100 	24.2600 	23.7200 	22.1700 	21.9200 	24.4400 	28.1300 	23.8800 	21.4800 	: 
4100,4141901,GJ_GCV,I_TAX,EUR,BG	12.7619 	12.7011 	10.9091 	11.3184 	9.6585 	9.3466 	10.8191 	11.9951 	13.6722 	14.3522 	13.4063 	15.3185 	13.8102 	15.4003 	13.7693 	12.8081 	11.8622 	11.7305 	10.0931 	9.3875 	13.2375 	11.5912 	8.9938 	8.5131 	: 
4100,4141901,GJ_GCV,I_TAX,EUR,CZ	30.9373 	29.2447 	29.5790 	27.4781 	26.6118 	25.0605 	25.6439 	25.2727 	24.8725 	23.9244 	23.7495 	25.1006 	26.9340 	26.2612 	26.2014 	26.2469 	24.2165 	22.0641 	20.5834 	19.6196 	19.9823 	21.0187 	18.2522 	15.1113 	: 
4100,4141901,GJ_GCV,I_TAX,EUR,DE	29.9097 	28.4216 	28.3148 	28.1870 	28.8400 	28.2500 	30.3200 	29.4500 	30.2200 	29.5400 	30.8500 	30.9000 	29.6500 	29.2200 	28.8800 	29.1400 	28.5100 	28.2500 	25.3800 	26.2500 	27.8800 	30.1900 	26.2200 	25.9800 	: 
4100,4141901,GJ_GCV,I_TAX,EUR,DK	31.2137 	29.5051 	28.3959 	28.7107 	28.9231 	28.6426 	27.9565 	29.2833 	30.3620 	24.3822 	25.2216 	27.1403 	27.5854 	26.5285 	27.2187 	28.5862 	28.6448 	26.8147 	26.4979 	23.6401 	22.2989 	27.2065 	26.6286 	24.5874 	22.6474 
4100,4141901,GJ_GCV,I_TAX,EUR,EA	30.4086 	34.7075 	28.5604 	32.9748 	27.9246 	32.3837 	28.7586 	33.7758 	28.9720 	34.2436 	30.1378 	33.5785 	28.7829 	32.5368 	27.2764 	30.2477 	25.7796 	27.9344 	23.4810 	25.0153 	25.5991 	28.0805 	23.8256 	23.9777 	22.3650 
4100,4141901,GJ_GCV,I_TAX,EUR,EE	14.4918 	13.7137 	13.0527 	14.0090 	14.0265 	10.0400 	10.1400 	11.5100 	15.1500 	15.2300 	16.3300 	16.4300 	18.6200 	17.6000 	16.5700 	16.5100 	14.6400 	14.2668 	10.9148 	10.4182 	11.2987 	11.3406 	10.8941 	10.7211 	: 
4100,4141901,GJ_GCV,I_TAX,EUR,EL	17.6931 	21.7080 	17.1900 e	: c	18.5500 p	28.3400 	18.7800 	32.2300 	22.1700 	32.1500 	23.4400 	37.6200 	24.6700 	40.6900 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
4100,4141901,GJ_GCV,I_TAX,EUR,ES	26.2208 	31.9239 	24.3451 	32.1916 	23.3500 	30.3500 	23.9100 	32.8500 	25.6300 	33.9200 	26.5100 	30.5500 	25.0000 	29.3100 	22.5400 	19.0800 	19.0200 	19.0669 	18.9204 	19.0450 	20.4600 	21.6700 	19.6510 	19.3170 	: 
4100,4141901,GJ_GCV,I_TAX,EUR,EU27	: 	: 	: 	: 	24.1000 	28.2700 	25.4000 	30.2200 	26.1500 	30.5200 	26.6700 	28.8800 	24.6800 	27.6600 	23.5000 	25.7100 	22.0400 	23.1700 	20.0600 	21.1200 	21.4800 	23.3600 	19.9500 	19.4500 	: 
4100,4141901,GJ_GCV,I_TAX,EUR,EU28	26.2744 	29.6532 	24.4668 	28.0052 	24.1330 	28.2652 	25.5199 	30.2379 	26.1897 	30.4084 	26.5862 	28.8680 	24.6802 	27.6177 	23.4680 	25.5687 	21.9187 	23.1020 	20.0167 	21.0523 	21.4114 	23.2714 	19.8875 	19.4022 	22.1009 
4100,4141901,GJ_GCV,I_TAX,EUR,FR	40.7115 	45.2650 	37.8392 	41.2742 	36.1464 	40.7800 	35.6100 	41.3000 	35.3700 	42.0100 	36.5700 	40.0600 	33.6500 	37.2900 	31.0600 	36.2100 	30.7300 	32.0600 	27.2600 	31.9000 	27.5500 	31.2310 	25.1600 	26.1100 	: 
4100,4141901,GJ_GCV,I_TAX,EUR,GE	4.4088 	4.3530 	4.3409 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
4100,4141901,GJ_GCV,I_TAX,EUR,HR	12.8328 	12.7595 	12.6512 	12.8117 	12.2259 	12.7318 	14.2843 	15.2661 	15.3593 	14.9252 	13.3687 	13.1322 	13.0472 	12.7101 	10.6438 	10.3224 	10.4211 	10.5447 	10.6326 	9.1021 	8.8591 	7.7031 	7.5924 	7.6045 	8.1984 
4100,4141901,GJ_GCV,I_TAX,EUR,HU	9.6022 	9.6387 	9.9527 	10.1265 	10.1312 	10.0259 	9.8214 	10.3399 	10.5806 	10.4794 	11.1229 	13.0066 	12.9892 	15.6644 	14.0680 	17.3642 	16.6303 	16.7742 	15.8694 	14.2936 	13.4528 	13.7110 	11.4332 	10.5596 	: 
4100,4141901,GJ_GCV,I_TAX,EUR,IE	20.3037 	26.1410 	19.2820 	22.3624 	19.8000 	23.0400 	20.2700 	24.6000 	20.7900 	25.0100 	21.1200 	24.7600 	19.7800 	21.4500 	18.8400 	19.9600 	15.5200 	16.6600 	15.2400 	17.5600 	19.2000 	19.7000 	19.0200 	30.1300 	: 
4100,4141901,GJ_GCV,I_TAX,EUR,IT	25.9184 	38.1831 	24.7277 	35.5727 	23.8000 	35.0100 p	25.3800 	36.3900 	26.2200 	38.0500 	27.6400 	34.0000 	25.9700 	34.7400 	23.9000 	30.3500 	21.2300 	27.8200 	18.4410 	18.0990 	20.7780 	23.7200 	18.5450 	18.9920 	18.4900 
4100,4141901,GJ_GCV,I_TAX,EUR,LI	: 	: 	: 	: 	54.7641 	51.6715 	49.2678 	47.6566 	46.4036 	40.2815 	36.7596 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
4100,4141901,GJ_GCV,I_TAX,EUR,LT	20.4825 	18.5433 	17.5329 	19.8170 	18.6100 	18.8800 	20.7400 	20.7300 	21.4200 	20.9714 	23.3086 	23.4447 	24.6467 	24.0993 	20.9772 	20.7658 	18.4546 	19.1536 	17.4744 	17.1978 	19.2255 	15.1576 	14.1577 	9.9993 	: 
4100,4141901,GJ_GCV,I_TAX,EUR,LU	13.1019 	12.4066 	11.9239 	11.7500 	12.3800 	13.6800 	14.6000 	16.6300 	16.4700 	17.6700 	19.2300 	18.1200 	22.5300 	19.7300 	16.2900 	20.1000 	18.7800 	15.3700 	14.0400 	20.3800 	20.8200 	18.3600 	13.8800 	14.7600 	: 
4100,4141901,GJ_GCV,I_TAX,EUR,LV	27.3364 	19.5963 	17.5807 	17.9729 	17.4700 	18.1300 	19.4000 	20.7500 	21.0900 	20.6700 	21.0000 	21.1815 	21.4780 	23.2227 	21.8674 	20.3544 	17.5801 	18.4292 	15.3900 	18.1805 	22.2568 	19.3421 	9.2198 	9.2332 	: 
4100,4141901,GJ_GCV,I_TAX,EUR,MD	7.9350 	7.7094 	6.7874 	8.2847 	8.2150 	7.8696 	7.8997 	8.6018 	8.7101 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
4100,4141901,GJ_GCV,I_TAX,EUR,MK	16.4545 	15.2950 	11.3051 	14.3232 	13.3826 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
