nrg_cons,nrg_prc,currency,geo\time	2018 	2017 	2016S2 	2015S2 	2014S2 	2013S2 	2012S2 	2011S2 	2010S2 	2009S2 	2008S2 	2007S2 
KWH2500-4999,TAX_ENV,PPS,FR	0.0290 	0.0289 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_ENV,PPS,HU	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_ENV,PPS,IE	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_ENV,PPS,LU	0.0008 	0.0008 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_ENV,PPS,MT	0.0018 	0.0018 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_ENV,PPS,NL	0.0074 	0.0058 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_ENV,PPS,NO	0.0123 	0.0123 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_ENV,PPS,PL	0.0187 	0.0152 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_ENV,PPS,PT	0.0012 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_ENV,PPS,RO	0.0020 	0.0021 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_ENV,PPS,SE	0.0252 	0.0227 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_ENV,PPS,SI	0.0036 	0.0038 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_ENV,PPS,UK	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,AL	0.0152 	0.0143 	0.0139 	0.0137 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,AT	0.0741 	0.0760 	0.0788 	0.0744 	0.0694 	0.0657 	0.0611 	0.0522 	0.0529 	0.0529 	0.0503 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,BA	0.0142 	0.0140 	0.0123 	0.0121 	: 	0.0116 	0.0117 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,BE	0.0884 	0.1088 	0.0930 	0.0510 	0.0365 	0.0574 	0.0539 	0.0524 	0.0514 	0.0473 	0.0533 	0.0397 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,BG	0.0165 	0.0162 	0.0156 	0.0160 	0.0149 	0.0147 	0.0159 	0.0147 	0.0138 	0.0138 	0.0138 	0.0120 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,CY	0.0554 	0.0477 d	0.0336 	0.0375 	0.0441 	0.0452 	0.0496 	0.0378 	0.0332 	: 	: 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,CZ	0.0477 	0.0464 	0.0259 	0.0255 	0.0250 	0.0297 	0.0291 	0.0282 	0.0270 	0.0256 	0.0239 	0.0186 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,DE	: 	: 	0.1595 	0.1519 	0.1534 	0.1432 	0.1244 	0.1136 	0.0991 	0.0934 	0.0854 	0.0826 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,DK	0.2059 	0.2098 	0.2136 	0.2159 	0.2026 	0.1916 	0.1909 	0.1775 	0.1612 	0.1592 	0.1523 	0.1374 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,EA	0.0644 	0.0639 	0.0855 	0.0834 	0.0806 	0.0763 	0.0686 	0.0702 	0.0618 	0.0572 	0.0570 	0.0655 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,EE	0.0364 	0.0366 	0.0278 	0.0340 	0.0343 	0.0360 	0.0329 	0.0279 	0.0294 	0.0224 	0.0181 	0.0134 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,EL	0.0533 	0.0650 	0.0538 	0.0544 	0.0569 	0.0504 	0.0346 	0.0235 	0.0253 	0.0190 	: 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,ES	0.0529 	0.0465 	0.0488 	0.0507 	0.0506 	0.0486 	0.0486 	0.0405 	0.0333 	0.0303 	0.0280 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,EU28	0.0626 	0.0607 	0.0734 	0.0723 	0.0663 	0.0636 	0.0582 	0.0565 	0.0588 	0.0458 	0.0453 	0.0576 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,FI	0.0546 	0.0533 	0.0524 	0.0521 	0.0488 	0.0472 	0.0462 	0.0464 	0.0345 	0.0321 	0.0318 	0.0282 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,FR	0.0621 	0.0618 	0.0605 	0.0569 	0.0538 	0.0491 	0.0432 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,GE	0.0112 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,HR	0.0292 	0.0204 	0.0313 	0.0309 	0.0311 	0.0290 	0.0283 	0.0221 	0.0223 	0.0233 	0.0223 	0.0191 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,HU	0.0235 	0.0240 	0.0239 	0.0243 	0.0244 	0.0308 	0.0331 	: 	0.0326 	0.0342 	0.0272 	0.0340 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,IE	0.0552 	0.0455 	0.0460 	0.0463 	0.0451 	0.0378 	0.0335 	0.0330 	: 	: 	: 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,IS	0.0304 	0.0317 	0.0312 	0.0268 	0.0244 	0.0225 	0.0245 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,IT	0.0745 d	0.0754 d	0.0918 d	0.0949 	0.0870 	0.0822 	0.0772 	0.0654 	0.0532 	0.0524 	0.0543 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,LI	: 	0.0250 	0.0221 	0.0226 	0.0139 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,LT	0.0326 	0.0332 	0.0353 	0.0380 	0.0436 	0.0513 	0.0220 	0.0212 	0.0211 	0.0158 	0.0132 	0.0141 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,LU	0.0389 	0.0448 	0.0371 	0.0436 	0.0307 	0.0217 	0.0229 	0.0225 	0.0300 	0.0229 	0.0218 	0.0203 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,LV	0.0484 	0.0543 	0.0550 	0.0554 	0.0447 	0.0505 	0.0414 	0.0242 	0.0096 	0.0096 	0.0048 	0.0034 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,MD	0.0030 	: 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,ME	0.0199 	0.0189 	0.0104 	0.0114 	0.0122 	0.0133 	0.0125 	0.0124 	: 	: 	: 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,MK	0.0120 	0.0124 	0.0126 	0.0127 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,MT	0.0077 	0.0078 	0.0061 	0.0060 	0.0059 	0.0080 	0.0080 	0.0080 	0.0083 	0.0076 	0.0077 	0.0047 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,NL	0.0508 	0.0409 	0.0403 	0.0607 	0.0475 	0.0526 	0.0486 	0.0496 	0.0505 	0.0478 	0.0459 	0.0453 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,NO	0.0509 	0.0466 	0.0501 	0.0440 	0.0479 	0.0499 	0.0509 	0.0519 	0.0519 	0.0439 	0.0464 	0.0429 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,PL	0.0501 	0.0499 	0.0299 	0.0312 	0.0311 	0.0316 	0.0334 	0.0299 	0.0299 	0.0280 	0.0290 	0.0310 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,PT	0.1252 	0.1151 	0.1087 	0.1132 	0.0930 	0.0888 	0.0889 	0.0813 	0.0605 	0.0211 	0.0428 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,RO	0.0348 	0.0333 	0.0340 	0.0381 	0.0342 	0.0383 	0.0327 	0.0262 	0.0213 	0.0164 	0.0182 	0.0187 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,RS	0.0166 	0.0162 	0.0154 	0.0147 	0.0106 	0.0105 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,SE	0.0732 	0.0718 	0.0681 	0.0672 	0.0674 	0.0725 	0.0738 	0.0705 	0.0678 	0.0588 	0.0611 	0.0599 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,SI	0.0509 	0.0506 	0.0512 	0.0505 	0.0481 	0.0481 	0.0350 	0.0342 	0.0368 	0.0291 	0.0237 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,SK	0.0618 	0.0604 	0.0288 	0.0285 	0.0286 	0.0312 	0.0318 	0.0315 	0.0261 	0.0249 	0.0244 	0.0218 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,TR	0.0154 	0.0186 	0.0235 	0.0250 	0.0270 	0.0261 	0.0300 	0.0226 	0.0281 	0.0242 	0.0252 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,UK	0.0576 	0.0488 	0.0353 	0.0375 	0.0096 	0.0085 	0.0085 	0.0080 	: 	0.0068 	0.0073 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,EUR,XK	0.0062 	0.0098 	0.0107 	0.0130 	0.0145 	0.0156 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,AL	1.9000 	1.9000 	1.9000 	1.9000 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,AT	0.0741 	0.0760 	0.0788 	0.0744 	0.0694 	0.0657 	0.0611 	0.0522 	0.0529 	0.0529 	0.0503 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,BA	0.0277 	0.0273 	0.0240 	0.0236 	: 	0.0227 	0.0229 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,BE	0.0884 	0.1088 	0.0930 	0.0510 	0.0365 	0.0574 	0.0539 	0.0524 	0.0514 	0.0473 	0.0533 	0.0397 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,BG	0.0323 	0.0316 	0.0306 	0.0312 	0.0292 	0.0288 	0.0311 	0.0288 	0.0269 	0.0270 	0.0270 	0.0234 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,CY	0.0554 	0.0477 d	0.0336 	0.0375 	0.0441 	0.0452 	0.0496 	0.0378 	0.0332 	: 	: 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,CZ	1.2300 	1.2000 	0.7000 	0.6900 	0.6900 	0.7800 	0.7300 	0.7000 	0.6700 	0.6600 	0.5900 	0.5100 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,DE	: 	: 	0.1595 	0.1519 	0.1534 	0.1432 	0.1244 	0.1136 	0.0991 	0.0934 	0.0854 	0.0826 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,DK	1.5360 	1.5611 	1.5891 	1.6107 	1.5086 	1.4289 	1.4230 	1.3216 	1.2015 	1.1852 	1.1352 	1.0238 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,EE	0.0364 	0.0366 	0.0278 	0.0340 	0.0343 	0.0360 	0.0329 	0.0279 	0.4600 	0.3507 	0.2830 	0.2100 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,EL	0.0533 	0.0650 	0.0538 	0.0544 	0.0569 	0.0504 	0.0346 	0.0235 	0.0253 	0.0190 	: 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,ES	0.0529 	0.0465 	0.0488 	0.0507 	0.0506 	0.0486 	0.0486 	0.0405 	0.0333 	0.0303 	0.0280 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,FI	0.0546 	0.0533 	0.0524 	0.0521 	0.0488 	0.0472 	0.0462 	0.0464 	0.0345 	0.0321 	0.0318 	0.0282 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,FR	0.0621 	0.0618 	0.0605 	0.0569 	0.0538 	0.0491 	0.0432 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,GE	0.0336 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,HR	0.2168 	0.1526 	0.2350 	0.2345 	0.2374 	0.2198 	0.2126 	0.1650 	0.1630 	0.1700 	0.1600 	0.1400 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,HU	7.5948 	7.4238 	7.4219 	7.6043 	7.5613 	9.1610 	9.3744 	: 	9.1000 	9.2682 	6.7990 	8.5688 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,IE	0.0552 	0.0455 	0.0460 	0.0463 	0.0451 	0.0378 	0.0335 	0.0330 	: 	: 	: 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,IS	4.0016 	3.9285 	3.9596 	3.8484 	3.7600 	3.6500 	3.8751 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,IT	0.0745 d	0.0754 d	0.0918 d	0.0949 	0.0870 	0.0822 	0.0772 	0.0654 	0.0532 	0.0524 	0.0543 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,LI	: 	0.0287 	0.0240 	0.0244 	0.0168 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,LT	0.0326 	0.0332 	0.0353 	0.0380 	0.1504 	0.1771 	0.0760 	0.0732 	0.0728 	0.0547 	0.0455 	0.0486 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,LU	0.0389 	0.0448 	0.0371 	0.0436 	0.0307 	0.0217 	0.0229 	0.0225 	0.0300 	0.0229 	0.0218 	0.0203 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,LV	0.0484 	0.0543 	0.0550 	0.0554 	0.0447 	0.0355 	0.0288 	0.0171 	0.0068 	0.0068 	0.0034 	0.0024 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,MD	0.0590 	: 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,ME	0.0199 	0.0189 	0.0104 	0.0114 	0.0122 	0.0133 	0.0125 	0.0124 	: 	: 	: 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,MK	0.7356 	0.7659 	0.7765 	0.7848 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,MT	0.0077 	0.0078 	0.0061 	0.0060 	0.0059 	0.0080 	0.0080 	0.0080 	0.0083 	0.0076 	0.0077 	0.0020 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,NL	0.0508 	0.0409 	0.0403 	0.0607 	0.0475 	0.0526 	0.0486 	0.0496 	0.0505 	0.0478 	0.0459 	0.0453 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,NO	0.4892 	0.4412 	0.4589 	0.4064 	0.4040 	0.4035 	0.3756 	0.4030 	0.4153 	0.3759 	0.3939 	0.3390 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,PL	0.2153 	0.2120 	0.1302 	0.1320 	0.1304 	0.1333 	0.1379 	0.1283 	0.1194 	0.1174 	0.1026 	0.1156 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,PT	0.1252 	0.1151 	0.1087 	0.1132 	0.0930 	0.0888 	0.0889 	0.0813 	0.0605 	0.0211 	0.0428 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,RO	0.1621 	0.1532 	0.1527 	0.1691 	0.1514 	0.1702 	0.1479 	0.1125 	0.0912 	0.0696 	0.0674 	0.0625 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,RS	1.9614 	1.9388 	1.8962 	1.7691 	1.2616 	1.2021 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,SE	0.7590 	0.6944 	0.6562 	0.6291 	0.6223 	0.6361 	0.6298 	0.6424 	0.6300 	0.6110 	0.6020 	0.5556 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,SI	0.0509 	0.0506 	0.0512 	0.0505 	0.0481 	0.0481 	0.0350 	0.0342 	0.0368 	0.0291 	0.0237 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,SK	0.0618 	0.0604 	0.0288 	0.0285 	0.0286 	0.0312 	0.0318 	0.0315 	0.0261 	0.0249 	0.7400 	0.7300 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,TR	0.0991 	0.0802 	0.0807 	0.0796 	0.0770 	0.0701 	0.0688 	0.0558 	0.0555 	0.0527 	0.0486 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,UK	0.0512 	0.0436 	0.0303 	0.0270 	0.0076 	0.0072 	0.0068 	0.0069 	: 	0.0060 	0.0060 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,NAT,XK	0.0062 	0.0098 	0.0107 	0.0130 	0.0145 	0.0156 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,PPS,AL	0.0307 	0.0315 	0.0327 	0.0326 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,PPS,AT	0.0673 	0.0699 	0.0738 	0.0685 	0.0628 	0.0588 	0.0554 	0.0471 	0.0480 	0.0471 	0.0461 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,PPS,BA	0.0289 	0.0284 	0.0259 	0.0256 	: 	0.0238 	0.0243 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,PPS,BE	0.0800 	0.0996 	0.0870 	0.0462 	0.0329 	0.0510 	0.0487 	0.0472 	0.0463 	0.0415 	0.0477 	0.0363 
KWH2500-4999,TAX_FEE_LEV_CHRG,PPS,BG	0.0343 	0.0335 	0.0338 	0.0345 	0.0317 	0.0310 	0.0338 	0.0311 	0.0310 	0.0309 	0.0323 	0.0298 
KWH2500-4999,TAX_FEE_LEV_CHRG,PPS,CY	0.0621 	0.0540 d	0.0380 	0.0412 	0.0502 	0.0507 	0.0546 	0.0411 	0.0374 	: 	: 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,PPS,CZ	0.0683 	0.0679 	0.0408 	0.0399 	0.0396 	0.0446 	0.0412 	0.0394 	0.0366 	0.0357 	0.0323 	0.0297 
KWH2500-4999,TAX_FEE_LEV_CHRG,PPS,DE	: 	: 	0.1539 	0.1457 	0.1472 	0.1362 	0.1204 	0.1093 	0.0950 	0.0868 	0.0822 	0.0807 
KWH2500-4999,TAX_FEE_LEV_CHRG,PPS,DK	0.1543 	0.1562 	0.1590 	0.1660 	0.1502 	0.1406 	0.1413 	0.1312 	0.1183 	0.1138 	0.1107 	0.1009 
KWH2500-4999,TAX_FEE_LEV_CHRG,PPS,EE	0.0481 	0.0500 	0.0390 	0.0469 	0.0459 	0.0494 	0.0464 	0.0402 	0.0434 	0.0320 	0.0255 	0.0198 
KWH2500-4999,TAX_FEE_LEV_CHRG,PPS,EL	0.0648 	0.0792 	0.0652 	0.0665 	0.0686 	0.0590 	0.0387 	0.0253 	0.0275 	0.0205 	: 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,PPS,ES	0.0585 	0.0516 	0.0546 	0.0566 	0.0566 	0.0540 	0.0537 	0.0434 	0.0354 	0.0321 	0.0304 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,PPS,FI	0.0439 	0.0429 	0.0432 	0.0420 	0.0392 	0.0383 	0.0383 	0.0386 	0.0289 	0.0267 	0.0271 	0.0243 
KWH2500-4999,TAX_FEE_LEV_CHRG,PPS,FR	0.0567 	0.0564 	0.0565 	0.0531 	0.0491 	0.0443 	0.0385 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,PPS,HR	0.0452 	0.0318 	0.0496 	0.0487 	0.0491 	0.0457 	0.0441 	0.0330 	0.0318 	0.0332 	0.0326 	0.0296 
KWH2500-4999,TAX_FEE_LEV_CHRG,PPS,HU	0.0398 	0.0404 	0.0424 	0.0435 	0.0433 	0.0535 	0.0647 	: 	0.0554 	0.0555 	0.0410 	0.0529 
KWH2500-4999,TAX_FEE_LEV_CHRG,PPS,IE	0.0494 	0.0413 	0.0427 	0.0415 	0.0405 	0.0343 	0.0306 	0.0299 	: 	: 	: 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,PPS,IS	0.0207 	0.0201 	0.0211 	0.0207 	0.0203 	0.0199 	0.0215 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,PPS,IT	0.0753 d	0.0768 d	0.0935 d	0.0943 	0.0867 	0.0815 	0.0769 	0.0642 	0.0520 	0.0506 	0.0538 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,PPS,LT	0.0514 	0.0541 	0.0593 	0.0630 	0.0710 	0.0836 	0.0365 	0.0351 	0.0357 	0.0256 	0.0209 	0.0245 
KWH2500-4999,TAX_FEE_LEV_CHRG,PPS,LU	0.0318 	0.0371 	0.0314 	0.0363 	0.0258 	0.0179 	0.0194 	0.0190 	0.0248 	0.0190 	0.0188 	0.0178 
KWH2500-4999,TAX_FEE_LEV_CHRG,PPS,LV	0.0702 	0.0788 	0.0830 	0.0821 	0.0652 	0.0730 	0.0600 	0.0362 	0.0147 	0.0141 	0.0067 	0.0051 
KWH2500-4999,TAX_FEE_LEV_CHRG,PPS,ME	0.0399 	0.0386 	0.0215 	0.0230 	0.0238 	0.0265 	0.0255 	0.0253 	: 	: 	: 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,PPS,MK	0.0272 	0.0283 	0.0303 	0.0312 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,PPS,MT	0.0091 	0.0094 	0.0076 	0.0075 	0.0074 	0.0103 	0.0104 	0.0106 	0.0114 	0.0104 	0.0107 	0.0067 
KWH2500-4999,TAX_FEE_LEV_CHRG,PPS,NL	0.0453 	0.0365 	0.0373 	0.0559 	0.0434 	0.0481 	0.0443 	0.0451 	0.0454 	0.0427 	0.0426 	0.0429 
KWH2500-4999,TAX_FEE_LEV_CHRG,PPS,NO	0.0350 	0.0321 	0.0354 	0.0324 	0.0323 	0.0331 	0.0320 	0.0338 	0.0352 	0.0316 	0.0352 	0.0313 
KWH2500-4999,TAX_FEE_LEV_CHRG,PPS,PL	0.0871 	0.0857 	0.0551 	0.0549 	0.0539 	0.0553 	0.0572 	0.0530 	0.0501 	0.0474 	0.0432 	0.0509 
KWH2500-4999,TAX_FEE_LEV_CHRG,PPS,PT	0.1538 	0.1446 	0.1390 	0.1453 	0.1196 	0.1139 	0.1116 	0.0990 	0.0731 	0.0251 	0.0515 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,PPS,RO	0.0695 	0.0657 	0.0700 	0.0764 	0.0663 	0.0772 	0.0696 	0.0533 	0.0437 	0.0330 	0.0330 	0.0335 
KWH2500-4999,TAX_FEE_LEV_CHRG,PPS,RS	0.0339 	0.0343 	0.0350 	0.0329 	0.0222 	0.0218 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,PPS,SE	0.0607 	0.0563 	0.0549 	0.0525 	0.0525 	0.0545 	0.0543 	0.0548 	0.0535 	0.0516 	0.0536 	0.0507 
KWH2500-4999,TAX_FEE_LEV_CHRG,PPS,SI	0.0616 	0.0623 	0.0654 	0.0632 	0.0602 	0.0597 	0.0433 	0.0409 	0.0438 	0.0340 	0.0292 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,PPS,SK	0.0910 	0.0889 	0.0443 	0.0431 	0.0429 	0.0459 	0.0466 	0.0458 	0.0390 	0.0366 	0.0346 	0.0322 
KWH2500-4999,TAX_FEE_LEV_CHRG,PPS,TR	0.0497 	0.0454 	0.0485 	0.0509 	0.0485 	0.0476 	0.0497 	0.0424 	0.0450 	0.0435 	0.0427 	: 
KWH2500-4999,TAX_FEE_LEV_CHRG,PPS,UK	0.0522 	0.0457 	0.0329 	0.0293 	0.0081 	0.0078 	0.0074 	0.0074 	: 	0.0069 	0.0072 	: 
KWH2500-4999,TAX_NUC,EUR,BE	0.0010 	0.0010 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_NUC,EUR,EA	0.0005 	0.0006 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_NUC,EUR,EL	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_NUC,EUR,EU28	0.0002 	0.0002 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_NUC,EUR,HU	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_NUC,EUR,IE	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_NUC,EUR,LU	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_NUC,EUR,MT	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_NUC,EUR,PT	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_NUC,EUR,SI	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_NUC,EUR,SK	0.0032 	0.0032 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_NUC,EUR,UK	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_NUC,NAT,BE	0.0010 	0.0010 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_NUC,NAT,EL	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_NUC,NAT,HU	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_NUC,NAT,IE	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_NUC,NAT,LU	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_NUC,NAT,MT	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_NUC,NAT,PT	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_NUC,NAT,SI	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,TAX_NUC,NAT,SK	0.0032 	0.0032 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
